epoch,train_MSE,val_MSE,val_MAE_recon,val_MAE_pred,val_MAE_lin
1,0.024386243894696236,0.004322232212871313,0.16017834842205048,0.5133862495422363,0.24778306484222412
2,0.0016354959225282073,0.00031252423650585115,0.045028626918792725,0.5323752164840698,0.40210869908332825
3,0.0001997912477236241,0.00016959245840553194,0.03375305235385895,0.531904935836792,0.41088372468948364
4,7.000603363849223e-05,3.3889777114382014e-05,0.014938730746507645,0.5326200723648071,0.40117740631103516
5,1.96957953448873e-05,9.629186934034806e-06,0.007978204637765884,0.5335729122161865,0.39904674887657166
6,2.229640813311562e-05,1.5391276974696666e-05,0.010509893298149109,0.534176230430603,0.39388203620910645
7,8.800410796538927e-06,3.996415216533933e-06,0.004973222967237234,0.5344564914703369,0.3919702172279358
8,1.7023934560711496e-05,2.33319724429748e-06,0.003812819253653288,0.5344005227088928,0.3876246213912964
9,5.4089937293611e-06,4.6714367272215895e-06,0.005883564706891775,0.5344685912132263,0.38643956184387207
10,2.0411227524164133e-05,3.6101698697166285e-06,0.004950749222189188,0.5341487526893616,0.38094115257263184
11,2.2283647922449745e-06,1.706094167275296e-06,0.003326079109683633,0.5342244505882263,0.3803595304489136
12,1.19882715807762e-05,6.232735813682666e-06,0.006975103635340929,0.5340988636016846,0.3772706687450409
13,7.71781378716696e-06,5.088085799798137e-06,0.006331396754831076,0.53399658203125,0.37504011392593384
14,7.584983450215077e-06,1.1818597158708144e-06,0.002664515981450677,0.5338671207427979,0.3730090260505676
15,2.5385741537320428e-05,1.3989857507112902e-05,0.010978860780596733,0.5336000323295593,0.36556127667427063
16,3.2139998893399024e-06,1.2225702903378988e-06,0.002719433046877384,0.5334295034408569,0.3636248707771301
17,1.4042037719264044e-06,1.2595513680935255e-06,0.0028103680815547705,0.5334882736206055,0.364374577999115
18,3.564482312867767e-06,2.1688726974389283e-06,0.0038438509218394756,0.533488929271698,0.3639564514160156
19,3.2803582143969834e-05,2.107765567416209e-06,0.0036968581844121218,0.5329696536064148,0.3538062274456024
20,5.040339601691812e-06,1.666899379415554e-06,0.003361652372404933,0.532759964466095,0.3509432375431061
21,1.2256828085810412e-06,8.701897513674339e-07,0.002315680729225278,0.532791256904602,0.35236093401908875
22,1.0869869129237486e-06,1.2844488992413972e-06,0.002880096435546875,0.5328301191329956,0.3532397150993347
23,1.1852440593429492e-06,1.6100656239359523e-06,0.0033439563121646643,0.5328085422515869,0.3537214994430542
24,2.052454510703683e-05,1.4643213035014924e-05,0.011059818789362907,0.5325669050216675,0.35071733593940735
25,1.8027516489382833e-05,1.4789276292503928e-06,0.0030691404826939106,0.5320789217948914,0.3392525017261505
26,1.986535835385439e-06,8.761014100855391e-07,0.0023139920085668564,0.5320292115211487,0.3407856523990631
27,8.532047672815679e-07,6.958979383853148e-07,0.00205624895170331,0.5320459604263306,0.3421163260936737
28,1.0337287221773295e-06,1.296338609790837e-06,0.002936792792752385,0.5320819020271301,0.34273582696914673
29,1.1579317060750327e-06,1.884302037069574e-06,0.003644984681159258,0.532051146030426,0.3430660367012024
30,1.4156389624986332e-06,2.8430220027075848e-06,0.004695771727710962,0.5320796370506287,0.3428547978401184
31,3.981661211582832e-05,3.997933163191192e-06,0.0049815415404737,0.5313782691955566,0.32752177119255066
32,3.134202415822074e-06,6.252500952541595e-07,0.0019221045076847076,0.531091034412384,0.3301883935928345
33,7.661649306101026e-07,6.040451694389048e-07,0.001872893190011382,0.5310803055763245,0.33202895522117615
34,7.190843120952195e-07,5.068593509349739e-07,0.0016790794907137752,0.5310909152030945,0.3327597677707672
35,1.0848457350220997e-06,8.79172489476332e-07,0.002315225312486291,0.5310837626457214,0.3330104649066925
36,1.3865846995031461e-06,1.44662578804855e-06,0.0032744312193244696,0.5310376286506653,0.33304929733276367
37,2.392825535935117e-06,2.6704012725531356e-06,0.004059358034282923,0.5311335325241089,0.33228975534439087
38,1.1290809197816998e-05,2.3632810552953742e-06,0.003930117469280958,0.5309333205223083,0.3289467990398407
39,6.925231900822837e-06,2.077762928820448e-06,0.0036865982692688704,0.5305719971656799,0.32504910230636597
40,2.4397324978053803e-06,1.577818693476729e-06,0.0034004817716777325,0.530547022819519,0.3261611759662628
41,7.185081358329626e-06,1.2265561508684186e-06,0.0028149231802672148,0.5303837060928345,0.3253330886363983
42,8.9996938186232e-06,2.46336321652052e-06,0.003927310463041067,0.5302040576934814,0.32145246863365173
43,1.7950736719285487e-06,2.6297825570509303e-06,0.004712394904345274,0.5300329923629761,0.32313236594200134
44,8.349011295649689e-06,8.590371862737811e-07,0.0024906417820602655,0.5298988819122314,0.3201577961444855
45,5.257636985334102e-06,3.166814394717221e-06,0.005181913264095783,0.5297867655754089,0.3197265565395355
46,2.802904191412381e-06,5.038800281909062e-06,0.006631021853536367,0.5296899080276489,0.32001635432243347
47,2.7467992822494125e-06,7.685697482884279e-07,0.0023072257172316313,0.5296680927276611,0.3194442093372345
48,2.3805190721759573e-05,1.4487843145616353e-05,0.011662738397717476,0.5293975472450256,0.31204140186309814
49,8.3455288404366e-06,2.3603859062859556e-06,0.004254835192114115,0.5289103984832764,0.3113158643245697
50,0.05297469720244408,0.04139513894915581,0.3144065737724304,0.42907050251960754,0.027637306600809097
51,0.03038213588297367,0.026041772216558456,0.06937605887651443,0.412943959236145,0.018182113766670227
52,0.0222318172454834,0.022720033302903175,0.043407049030065536,0.34858617186546326,0.017191201448440552
53,0.017327647656202316,0.017762016505002975,0.06106623634696007,0.2978128492832184,0.01744241639971733
54,0.012624272145330906,0.01048279833048582,0.04883662983775139,0.24018149077892303,0.01649947091937065
55,0.004702182952314615,0.002120653633028269,0.04950421676039696,0.09180618077516556,0.012495700269937515
56,0.0015317238867282867,0.0011834028409793973,0.03289761394262314,0.06690710783004761,0.00996698159724474
57,0.0010865353979170322,0.0010066247778013349,0.0314616858959198,0.06157112866640091,0.009165150113403797
58,0.000844109570607543,0.0007728213677182794,0.022675646468997,0.054639432579278946,0.008512357249855995
59,0.0007132283644750714,0.0006588013493455946,0.02031652256846428,0.05056067928671837,0.007990888319909573
60,0.0006665856344625354,0.0006308943848125637,0.020941173657774925,0.04957486689090729,0.007595201954245567
61,0.0005488053429871798,0.0005245617358013988,0.017357680946588516,0.044723883271217346,0.007123379036784172
62,0.0005522458232007921,0.0004875343292951584,0.016693338751792908,0.04339221864938736,0.006829018238931894
63,0.0004582603869494051,0.0004413024289533496,0.016037939116358757,0.0407782644033432,0.006512239575386047
64,0.0005301929195411503,0.0005469686002470553,0.02270297147333622,0.04667045921087265,0.006444379221647978
65,0.00040720170363783836,0.00038990311441011727,0.01432662084698677,0.038753122091293335,0.006077661644667387
66,0.00037745910231024027,0.00036352770985104144,0.014084162190556526,0.037367988377809525,0.005858964752405882
67,0.0005019833333790302,0.0003880743752233684,0.016168564558029175,0.039039626717567444,0.005773642566055059
68,0.00034752723877318203,0.0003344239084981382,0.013234034180641174,0.03610851615667343,0.005636872723698616
69,0.0003285958955530077,0.00035784870851784945,0.01626652479171753,0.03781222552061081,0.005491153337061405
70,0.00034063748898915946,0.0003160814521834254,0.013014242053031921,0.03541342914104462,0.005379744339734316
71,0.00032145343720912933,0.00029539185925386846,0.012179900892078876,0.03403043746948242,0.005280694458633661
72,0.0003216378390789032,0.00030626749503426254,0.013697812333703041,0.03509564697742462,0.005198460537940264
73,0.00035882554948329926,0.0003013930399902165,0.014331596903502941,0.03442257270216942,0.005176741164177656
74,0.00031145798857323825,0.00037542893551290035,0.02148236148059368,0.03819378837943077,0.005074323620647192
75,0.0003322428383398801,0.0003088513039983809,0.015923120081424713,0.03513255715370178,0.004999367520213127
76,0.00027476000832393765,0.00027198175666853786,0.01293138600885868,0.033019497990608215,0.004902897402644157
77,0.0002832963364198804,0.0003091151884291321,0.017349254339933395,0.03495338559150696,0.004829110112041235
78,0.0002877554506994784,0.0003003397141583264,0.01771443895995617,0.034081749618053436,0.004807577468454838
79,0.0002835863851942122,0.00030880412668921053,0.018792258575558662,0.03446849063038826,0.004748021252453327
80,0.0002797409542836249,0.0003054853295907378,0.018861286342144012,0.0341968797147274,0.004693564958870411
81,0.000273216690402478,0.000285794900264591,0.01732765883207321,0.03323326259851456,0.004635808989405632
82,0.0002628378279041499,0.0002719326294027269,0.016404367983341217,0.03247528150677681,0.00458162697032094
83,0.00025810336228460073,0.0002741589560173452,0.017111292108893394,0.032463859766721725,0.004536548163741827
84,0.000256698636803776,0.0002749868726823479,0.0175558403134346,0.032454609870910645,0.004499507136642933
85,0.0002548040356487036,0.0002694446302484721,0.01734444685280323,0.03214670345187187,0.004463629797101021
86,0.00025269962497986853,0.0002623847976792604,0.016849322244524956,0.03182581067085266,0.004429168067872524
87,0.00024790549650788307,0.00024611258413642645,0.01528368704020977,0.031082307919859886,0.004392767790704966
88,0.00024055175890680403,0.00023965795116964728,0.014818534255027771,0.030756184831261635,0.00435539660975337
89,0.00023770656844135374,0.00024312968889717013,0.015528067015111446,0.030908623710274696,0.004324180539697409
90,0.00023575808154419065,0.00024495349498465657,0.015865545719861984,0.031032316386699677,0.0042966436594724655
91,0.000232724953093566,0.0002450720639899373,0.016098247841000557,0.030999643728137016,0.0042658355087041855
