epoch,train_MSE,val_MSE
100,0.06881305575370789,0.01902533508837223
101,0.015823399648070335,0.014162627048790455
102,0.012744580395519733,0.010925239883363247
103,0.011113756336271763,0.010831433348357677
104,0.01099028717726469,0.010748052969574928
105,0.010940276086330414,0.01070273108780384
106,0.010904865339398384,0.010685507208108902
107,0.010896922089159489,0.010663092136383057
108,0.010884499177336693,0.010653323493897915
109,0.01087484322488308,0.01066732406616211
110,0.010868948884308338,0.010752715170383453
111,0.010877608321607113,0.010851919651031494
112,0.010863657109439373,0.010607847943902016
113,0.010757985524833202,0.010568340308964252
114,0.010719011537730694,0.010618992149829865
115,0.010736104100942612,0.010623207315802574
116,0.010726196691393852,0.01056632213294506
117,0.010682935826480389,0.010524206794798374
118,0.01064972672611475,0.010523599572479725
119,0.010638732463121414,0.010517719201743603
120,0.010623238980770111,0.010509971529245377
121,0.01060565747320652,0.01049442682415247
122,0.010583707131445408,0.010471895337104797
123,0.010563227348029613,0.010451776906847954
124,0.010541804134845734,0.010452131740748882
125,0.010524570010602474,0.010446523316204548
126,0.010500895790755749,0.010434163734316826
127,0.010477613657712936,0.010439395904541016
128,0.01045298296958208,0.010448317043483257
129,0.01042745728045702,0.010499203577637672
130,0.010401728563010693,0.01052011363208294
131,0.01036054641008377,0.010488624684512615
132,0.010309460572898388,0.010486965999007225
133,0.010258051566779613,0.010164521634578705
134,0.010034053586423397,0.010547662153840065
135,0.010695308446884155,0.011269303038716316
136,0.010545377619564533,0.01004896778613329
137,0.010073753073811531,0.009712780825793743
138,0.009492389857769012,0.009168234653770924
139,0.010528302751481533,0.009689142927527428
140,0.009218852035701275,0.0072226268239319324
141,0.014896668493747711,0.01160397008061409
142,0.01126102264970541,0.010524161159992218
143,0.0103148203343153,0.010058261454105377
144,0.010026835836470127,0.009868277236819267
145,0.009915432892739773,0.00977277010679245
146,0.009850001893937588,0.009722068905830383
147,0.00979359820485115,0.00964589323848486
148,0.009732223115861416,0.009584161452949047
149,0.009670039638876915,0.009518234059214592
150,0.0096024414524436,0.00947488285601139
151,0.009534750133752823,0.009459040127694607
152,0.009470075368881226,0.009385824203491211
153,0.009384731762111187,0.009223535656929016
154,0.009263991378247738,0.009123929776251316
155,0.009162927977740765,0.00917153712362051
156,0.009111425839364529,0.00908603984862566
157,0.009003541432321072,0.009062674827873707
158,0.00894923321902752,0.008833233267068863
159,0.00886438973248005,0.009122584946453571
160,0.008870220743119717,0.009382344782352448
161,0.008873211219906807,0.009301301091909409
162,0.008820897899568081,0.009266505017876625
163,0.008790241554379463,0.009172044694423676
164,0.008718720637261868,0.009231035597622395
165,0.008696292527019978,0.00906333513557911
166,0.008615007624030113,0.008868148550391197
167,0.008562088944017887,0.008727130480110645
168,0.008497506380081177,0.008597927168011665
169,0.008419935591518879,0.008451937697827816
170,0.008404637686908245,0.008613097481429577
171,0.008458741940557957,0.008682487532496452
172,0.008381775580346584,0.008613543584942818
173,0.008340354077517986,0.008296499960124493
174,0.008205272257328033,0.008511124178767204
175,0.008166276849806309,0.00784287415444851
176,0.007968827150762081,0.007689669728279114
177,0.008021335117518902,0.009049877524375916
178,0.008029536344110966,0.008008260279893875
179,0.007847907021641731,0.006963003892451525
180,0.009720790199935436,0.017125114798545837
181,0.011800520122051239,0.009965205565094948
182,0.00929618813097477,0.00852394662797451
183,0.008416383527219296,0.00814305804669857
184,0.008170037530362606,0.00803321786224842
185,0.008103358559310436,0.008200664073228836
186,0.008077621459960938,0.008601963520050049
187,0.008053990080952644,0.008342304266989231
188,0.007915538735687733,0.007867907173931599
189,0.0076817418448626995,0.007336646784096956
190,0.0072244624607264996,0.00650117127224803
191,0.01040634699165821,0.011416505090892315
192,0.009288841858506203,0.007823377847671509
193,0.008717171847820282,0.007529483176767826
194,0.007532880641520023,0.006018803454935551
195,0.007084123324602842,0.009333060123026371
196,0.0065559642389416695,0.004279498942196369
197,0.004083340521901846,0.0034341919235885143
198,0.003906880039721727,0.003307075472548604
199,0.0037542693316936493,0.003964249975979328
200,0.003916533198207617,0.003559840377420187
201,0.003398185595870018,0.002993582747876644
202,0.003263574792072177,0.003159806365147233
203,0.0033187922090291977,0.004203742370009422
204,0.0033678740728646517,0.002773225773125887
205,0.0029518415685743093,0.0027448551263660192
206,0.0029899703804403543,0.0034429968800395727
207,0.0031586128752678633,0.0028332697693258524
208,0.003311190754175186,0.0031663598492741585
209,0.00297627504914999,0.0026902914978563786
210,0.00316557171754539,0.0026684566400945187
211,0.002894217614084482,0.002559397602453828
212,0.002937814686447382,0.002679212484508753
213,0.0029858569614589214,0.002584001747891307
214,0.0027504449244588614,0.0024573514237999916
215,0.002813739236444235,0.0031700043473392725
216,0.002998743671923876,0.0028121410869061947
217,0.0028223502449691296,0.0023701288737356663
218,0.002531791804358363,0.002478904090821743
219,0.0026787181850522757,0.0026978314854204655
220,0.0026189901400357485,0.0024329200387001038
221,0.0024770661257207394,0.0023323441855609417
222,0.002496604574844241,0.00221638148650527
223,0.0026816960889846087,0.0030051935464143753
224,0.00290577276609838,0.0031333465594798326
225,0.0025393280666321516,0.0022192313335835934
226,0.0023472008761018515,0.002156308386474848
227,0.002361724618822336,0.0021080889273434877
228,0.0025729553308337927,0.0035672944504767656
229,0.0027169676031917334,0.0025545607786625624
230,0.0024510398507118225,0.002221654402092099
231,0.0022193400654941797,0.002283039502799511
232,0.0023731982801109552,0.0030471328645944595
233,0.002508032601326704,0.0024029368069022894
234,0.0022074244916439056,0.001974315382540226
235,0.0020172481890767813,0.001958430279046297
236,0.002174264518544078,0.0022075583692640066
237,0.0022745297756046057,0.002099949400871992
238,0.0023124534636735916,0.0026747765950858593
239,0.002404632279649377,0.0026964121498167515
240,0.0021680586505681276,0.0021144773345440626
241,0.002041098428890109,0.002406938001513481
242,0.002125136787071824,0.0024259889032691717
243,0.00219617853872478,0.0024630511179566383
244,0.002142332261428237,0.0018544485792517662
245,0.0019932554569095373,0.0019432930275797844
246,0.001961570931598544,0.0020007432904094458
247,0.002145324135199189,0.0025503765791654587
248,0.0020825413521379232,0.0017258344450965524
249,0.0019384416518732905,0.0018551008542999625
250,0.0018254064489156008,0.001781273283995688
251,0.002188676269724965,0.002550292294472456
252,0.002150572370737791,0.001942378468811512
253,0.001867875806055963,0.0019005922367796302
254,0.0018108742078766227,0.0017578164115548134
255,0.0018434649100527167,0.0015867645852267742
256,0.00203833170235157,0.0017623573075979948
257,0.0018054696265608072,0.0017090378096327186
258,0.001980656525120139,0.0018736531492322683
259,0.0019570349249988794,0.0021418172400444746
260,0.0018210681155323982,0.001779627287760377
261,0.0017085763392969966,0.001731421798467636
262,0.0017872595926746726,0.0017551389755681157
263,0.0016506677493453026,0.0015674897003918886
264,0.0018815075745806098,0.0024506375193595886
265,0.0017723300261422992,0.0018294337205588818
266,0.0016738983104005456,0.0016314872773364186
267,0.0016467150999233127,0.0013704801676794887
268,0.0017111527267843485,0.0014772084541618824
269,0.001669992576353252,0.002099689794704318
270,0.0018518640426918864,0.0016477970639243722
271,0.00155112415086478,0.001452340860851109
272,0.0014959377003833652,0.001615510554984212
273,0.0013978455681353807,0.0015132809057831764
274,0.0016233737114816904,0.001315815607085824
275,0.0016810365486890078,0.0013680157717317343
276,0.0015788412420079112,0.0013861891347914934
277,0.0017043080879375339,0.0014203214086592197
