epoch,train_MSE,val_MSE
1,0.008269472047686577,0.008029299788177013
2,0.006929594092071056,0.00524324644356966
3,0.004446950275450945,0.004242914263159037
4,0.003802961902692914,0.003130299737676978
5,0.001271250075660646,0.0003436970291659236
6,0.0001789479429135099,8.732109563425183e-05
7,6.457349809352309e-05,4.731465378426947e-05
8,3.824036684818566e-05,3.107636439381167e-05
9,2.5521232601022348e-05,2.1080850274302065e-05
10,1.737912680255249e-05,1.4519036085403059e-05
11,1.2045934454363305e-05,1.0295209904143121e-05
12,8.639179213787429e-06,7.512958291044924e-06
13,6.40741109236842e-06,5.666121978720184e-06
14,4.858002284890972e-06,4.34873027188587e-06
15,3.761659627343761e-06,3.4212473565276014e-06
16,2.9702100619033445e-06,2.6708835321187507e-06
17,2.3954394237080123e-06,2.0935449356329627e-06
18,1.95042957784608e-06,1.7695148244456504e-06
19,1.5667754951209645e-06,1.522138404652651e-06
20,1.2471357422327856e-06,1.2046939446008764e-06
21,1.0187361567659536e-06,1.0031201327365125e-06
22,8.676011020725127e-07,8.590704396738147e-07
23,7.571090918645496e-07,7.609340286762745e-07
24,6.747440579601971e-07,7.011351499386365e-07
25,6.099339202592091e-07,6.397621064024861e-07
26,5.516380952030886e-07,5.677666194969788e-07
27,4.98966926443245e-07,5.209948312767665e-07
28,4.589750801642367e-07,4.872482577411574e-07
29,4.287094839128258e-07,4.5898045186731906e-07
30,4.042038312945806e-07,4.3327901266820845e-07
31,3.8442178151854023e-07,4.0954768110168516e-07
32,3.6654688528869883e-07,3.950223117499263e-07
33,3.4844558172153484e-07,3.7888077031311695e-07
34,3.289318613042269e-07,3.5105443885186105e-07
35,3.114635660494969e-07,3.2824425488797715e-07
36,2.975859842990758e-07,3.1012294243737415e-07
37,2.860646475255635e-07,2.960502172300039e-07
38,2.782974775072944e-07,2.8518320505099837e-07
39,2.7167547500539513e-07,2.8679488650595886e-07
40,2.603742643714213e-07,2.898126467698603e-07
41,2.4555620825594815e-07,2.651280794907507e-07
42,2.3756007294650772e-07,2.479633565144468e-07
43,2.3373742408239195e-07,2.3243485713919654e-07
44,2.3283944017293834e-07,2.2901240015471558e-07
45,2.3134352034048788e-07,2.318227956266128e-07
46,2.2426459622693073e-07,2.1733949040481093e-07
47,2.0355686558559682e-07,2.201205973051401e-07
48,1.9278762408703187e-07,2.2323500559195963e-07
49,1.9058455791309825e-07,2.38820632603165e-07
50,1.9510790139065648e-07,2.3841049312522955e-07
51,2.0598056948983867e-07,2.0599617300831596e-07
52,2.0169493097910163e-07,1.9641014148419345e-07
53,1.869351393679608e-07,2.1547755579831573e-07
54,1.926241424143882e-07,2.721444332109968e-07
55,2.0486881169290427e-07,3.6070503028895473e-07
56,2.1884648049308453e-07,3.743691650015535e-07
57,2.324344592352645e-07,3.3415165034966776e-07
