epoch,train_MSE,val_MSE
1,0.030421292409300804,0.019157063215970993
2,0.005687670782208443,0.0018092727987095714
3,0.0007542924722656608,0.00042357496568001807
4,0.0002706098894122988,0.000152849723235704
5,0.00017008857685141265,9.972873522201553e-05
6,0.00010553065658314154,7.654160435777158e-05
7,7.081186777213588e-05,5.4431493481388316e-05
8,4.657909812522121e-05,5.385210897657089e-05
9,3.375210508238524e-05,3.601768548833206e-05
10,2.3532527848146856e-05,1.3375584785535466e-05
11,1.5006441572040785e-05,1.4276629372034222e-05
12,1.0346665476390626e-05,1.1868204637721647e-05
13,8.132076800393406e-06,1.0306555850547738e-05
14,6.184648555063177e-06,4.955159511155216e-06
15,5.851866717421217e-06,5.071461146144429e-06
16,6.090663191571366e-06,1.3110217878420372e-05
17,5.900531050428981e-06,4.943561634718208e-06
18,5.176530521566747e-06,3.712752686624299e-06
19,5.945746124780271e-06,2.768962258414831e-05
20,1.9906969100702554e-05,3.7889480154262856e-05
21,1.924450771184638e-05,4.2357260099379346e-05
22,1.145093028753763e-05,3.5956334158981917e-06
23,2.5559058940416435e-06,1.8833512740457081e-06
24,2.0490294900810113e-06,1.48312119563343e-06
25,4.382206498121377e-06,8.763344339968171e-06
26,7.3296105256304145e-06,8.655627425468992e-06
27,1.417752355337143e-05,1.3538053281081375e-05
28,3.740078682312742e-06,4.1099074223893695e-06
29,3.6960402667318704e-06,5.286952728056349e-06
30,7.176993221946759e-06,9.960931492969394e-07
31,4.034096491523087e-05,5.2061335736652836e-05
32,2.3383185180136934e-05,1.9214458006899804e-06
33,3.6749738683283795e-06,3.507051360429614e-06
34,1.6970822116491036e-06,1.2384440424284548e-06
35,1.0544816859692219e-06,1.213747509609675e-06
36,1.0310715197192621e-06,1.5975756468833424e-06
37,9.750243634698563e-07,8.051203508330218e-07
38,8.049464099713077e-07,1.6288885262838448e-06
39,2.8433084935386432e-06,1.0711556569731329e-05
40,0.07120773941278458,0.03923143818974495
41,0.03666480630636215,0.036937445402145386
42,0.03493141010403633,0.03626582399010658
43,0.03831642493605614,0.037078872323036194
44,0.0374377965927124,0.037334322929382324
45,0.034285880625247955,0.034401360899209976
46,0.03209711238741875,0.03186887502670288
47,0.02787153795361519,0.023113509640097618
