epoch,train_MSE,val_MSE
92,1.9911212234546838e-07,3.456629258380417e-07
93,1.9221768354782398e-07,3.374701407210523e-07
94,1.8899669385064044e-07,3.1880875894785277e-07
95,1.8793778622239188e-07,2.851487579391687e-07
96,1.8309306426544936e-07,2.09426460173745e-07
97,1.658261084003243e-07,5.693737747947125e-08
98,1.1382770992440783e-07,3.875013590004528e-07
99,5.006525043427246e-07,4.670642681503523e-07
100,0.046874936670064926,0.012170476838946342
101,0.011174828745424747,0.009435384534299374
102,0.008632809855043888,0.007988698780536652
103,0.007724412716925144,0.007380375638604164
104,0.007368843071162701,0.0071577392518520355
105,0.007184365764260292,0.006992653012275696
106,0.007050898391753435,0.006893669720739126
107,0.006973688956350088,0.006821297574788332
108,0.006908782292157412,0.006753263529390097
109,0.006851709447801113,0.006701891776174307
110,0.006805881857872009,0.00666106166318059
111,0.006762748584151268,0.006628037430346012
112,0.0067208027467131615,0.006604195572435856
113,0.006682186853140593,0.006585880182683468
114,0.006644916720688343,0.006568549200892448
115,0.0066078403033316135,0.006542422343045473
116,0.00657067634165287,0.006502240896224976
117,0.006534253247082233,0.006456135306507349
118,0.006497436203062534,0.006406543310731649
119,0.0064575690776109695,0.006359012331813574
120,0.006414247676730156,0.006307654548436403
121,0.00636679632589221,0.006254266947507858
122,0.006312068086117506,0.006213581655174494
123,0.006241814233362675,0.006196319591253996
124,0.006137265358120203,0.00611073849722743
125,0.005958139430731535,0.005785059183835983
126,0.005602410063147545,0.005051264539361
127,0.00501488009467721,0.004402101039886475
128,0.0038713300600647926,0.0035940264351665974
129,0.0035957172513008118,0.0034773885272443295
130,0.0034461214672774076,0.0033494331873953342
131,0.0033031620550900698,0.0032325582578778267
132,0.003162678796797991,0.0031210333108901978
133,0.003027315717190504,0.0030399453826248646
134,0.0029368174728006124,0.0030097104609012604
135,0.002791917882859707,0.002825015690177679
136,0.0026766175869852304,0.002709995023906231
137,0.002593062585219741,0.0026269531808793545
138,0.002526721451431513,0.002570830751210451
139,0.002468084916472435,0.0025419911835342646
140,0.0024233951698988676,0.0025207241997122765
141,0.00240100035443902,0.002493510954082012
142,0.002378153381869197,0.0024821870028972626
143,0.0025229244492948055,0.0025536823086440563
144,0.0023763116914778948,0.002469749189913273
145,0.002346833935007453,0.0024488577619194984
146,0.002334440592676401,0.0024436642415821552
147,0.002327774651348591,0.002448979765176773
148,0.00232049822807312,0.0024277251213788986
149,0.0023123992141336203,0.0024290368892252445
150,0.002307362388819456,0.002439848380163312
151,0.0022972836159169674,0.0024076274130493402
152,0.0022965078242123127,0.002409129636362195
153,0.0022728033363819122,0.0023945942521095276
154,0.0022582400124520063,0.002383281011134386
155,0.0022449023090302944,0.002383875660598278
156,0.00224768603220582,0.0025129036512225866
157,0.0022220853716135025,0.0023177217226475477
158,0.002188052050769329,0.002309209667146206
159,0.0021692493464797735,0.0022903908975422382
160,0.002151819644495845,0.002238897606730461
161,0.0021160636097192764,0.0022026868537068367
162,0.0020891791209578514,0.002237975597381592
163,0.0020553411450237036,0.00210031820461154
164,0.0019907685928046703,0.002076717559248209
165,0.0019719868432730436,0.002019257750362158
166,0.0018925812328234315,0.0019433095585554838
167,0.0018253980670124292,0.001803346211090684
168,0.0017342980718240142,0.0017009656876325607
169,0.00153989321552217,0.0014049960300326347
170,0.001373938866890967,0.0012301589595153928
171,0.0012385890586301684,0.0008059219690039754
172,0.0007697503897361457,0.000548801792319864
173,0.0007102517993189394,0.0003278039221186191
174,0.00041848942055366933,0.00017434507026337087
175,0.0001567494182381779,0.0001048013727995567
176,7.787971117068082e-05,5.833042087033391e-05
177,4.856165833189152e-05,4.2591193050611764e-05
178,6.648373528150842e-05,5.4771415307186544e-05
179,5.01696667924989e-05,3.604326775530353e-05
180,9.23672632779926e-05,4.081070073880255e-05
181,5.149413118488155e-05,2.9670973162865266e-05
182,2.7195512302569114e-05,2.850826786016114e-05
183,3.412109799683094e-05,4.0476483263773844e-05
184,5.418986256700009e-05,0.00012807402526959777
185,6.566165393451229e-05,3.213508171029389e-05
186,2.7984695407212712e-05,2.179619696107693e-05
187,2.5642444597906433e-05,5.161484659765847e-05
188,6.161774217616767e-05,4.60202427348122e-05
189,3.341701813042164e-05,3.427464616834186e-05
190,3.67051616194658e-05,7.104346150299534e-05
191,4.022343273391016e-05,5.214143675402738e-05
192,4.3337793613318354e-05,4.920782521367073e-05
193,4.004462971352041e-05,2.1100706362631172e-05
194,3.633667074609548e-05,2.6505458663450554e-05
195,2.9017941415077075e-05,1.9984954633400775e-05
196,3.4806460462277755e-05,0.00014001774252392352
197,6.678963836748153e-05,2.4808268790366128e-05
198,2.7319611035636626e-05,1.8127995645045303e-05
199,2.259571192553267e-05,2.14755109482212e-05
200,3.55916672560852e-05,0.00013656646478921175
201,5.304977821651846e-05,1.798990160750691e-05
202,2.4014039809117094e-05,1.7265330825466663e-05
