epoch,train_MSE,val_MSE
127,2.9377331429714104e-06,1.4733456055182614e-06
128,2.9659522624569945e-06,2.358008941882872e-06
129,2.9098532650095876e-06,2.1840787667315453e-06
130,2.8961680982320104e-06,3.61523893843696e-06
131,2.8520562409539707e-06,1.425420578016201e-06
132,2.818748498611967e-06,1.2030542393404176e-06
133,2.795648015307961e-06,5.178620540391421e-06
134,2.856757873814786e-06,4.097581495443592e-06
135,2.797482011374086e-06,4.548363449430326e-06
136,2.7356109058018774e-06,9.496754501014948e-06
137,2.721354803725262e-06,1.1984836874034954e-06
138,2.7285777832730673e-06,1.330093368778762e-06
139,2.704803591768723e-06,2.54283827416657e-06
140,2.6898405849351548e-06,2.0844736354774795e-06
141,2.6863237962970743e-06,1.2636594419745961e-06
142,2.6852039809455164e-06,1.6393678379245102e-06
143,2.64067830357817e-06,2.3529717509518377e-05
144,2.633430767673417e-06,1.8698676740314113e-06
145,2.5942561023839517e-06,8.474666174151935e-06
146,2.607962414913345e-06,2.2718104446539655e-06
147,2.631089046190027e-06,1.122640924222651e-06
148,2.542332367738709e-06,1.1632579344222904e-06
149,2.5323406589450315e-06,3.596256874516257e-06
150,2.51658593697357e-06,1.2406046607793542e-06
151,2.5210440526279854e-06,1.122141043197189e-06
152,2.4981688966363436e-06,1.3604885680251755e-06
153,2.4771682092250558e-06,1.1244118240938406e-06
154,2.438707952023833e-06,5.4103020374896005e-06
155,2.4654902972542914e-06,1.6356342484868946e-06
156,2.39494056586409e-06,4.46365538664395e-06
157,2.3978680019354215e-06,2.4261823909910163e-06
158,2.446412509016227e-06,1.027924213303777e-06
159,2.3619941202923656e-06,1.1638411706371699e-05
160,2.3783436517987866e-06,5.45163857168518e-06
161,2.318041879334487e-06,2.0937627596140373e-06
162,2.32384786613693e-06,2.863678219000576e-06
163,2.2820836420578416e-06,1.1626082141447114e-06
164,2.310719992237864e-06,3.7677732507290784e-06
165,2.2604945115745068e-06,9.312870474786905e-07
166,2.2895403617440024e-06,1.4106227581578423e-06
167,2.2952303879719693e-06,2.0913287244184176e-06
168,2.210894535892294e-06,1.274469354939356e-06
169,2.2505869310407434e-06,1.1605413874349324e-06
170,2.215075937783695e-06,1.2221456699990085e-06
171,2.207242687291e-06,1.6009407772799022e-06
172,2.1961320726404665e-06,1.353480115540151e-06
