epoch,train_MSE,val_MSE
1,0.008323208428919315,0.008144541643559933
2,0.0075950403697788715,0.0065245237201452255
3,0.005050081759691238,0.003884423989802599
4,0.0027862568385899067,0.0013160090893507004
5,0.0006128450622782111,0.0004034865414723754
6,0.00018110046221408993,0.00012835852976422757
7,7.453296711901203e-05,5.313789006322622e-05
8,3.970671241404489e-05,3.0927429179428145e-05
9,2.2582296878681518e-05,1.7727536032907665e-05
10,1.3159526133676991e-05,1.0578110959613696e-05
11,7.861000085540581e-06,6.1534965425380506e-06
12,4.788505520991748e-06,3.8688435779477e-06
13,3.3425294532207772e-06,2.8053459573129658e-06
14,2.5759638901945436e-06,2.1629830371239223e-06
15,2.0798079276573844e-06,1.7476287439421867e-06
16,1.733853082441783e-06,1.4797134326727246e-06
17,1.4902964267093921e-06,1.303052385992487e-06
18,1.2988261914870236e-06,1.1637586112556164e-06
19,1.1640084949249285e-06,1.0201031273027183e-06
20,1.0940851780105731e-06,8.340464887623966e-07
21,1.0089554507430876e-06,8.552973440600908e-07
22,8.288257049571257e-07,7.035707767499844e-07
23,7.078775752233923e-07,5.973179213469848e-07
24,6.418515567929717e-07,5.382877361626015e-07
25,5.789897841168568e-07,4.825683390663471e-07
26,5.28086559370422e-07,4.5631082912223064e-07
27,4.873977559327614e-07,4.034921801121527e-07
28,6.61085380215809e-07,2.112448328261962e-06
29,1.7076222320611123e-06,6.41326664663211e-07
30,6.224371418284136e-07,4.230298031870916e-07
31,4.575041430143756e-07,3.318617132208601e-07
32,4.058180422816804e-07,3.799811452154245e-07
33,3.465676456926303e-07,2.4671714982105186e-07
34,3.179558802912652e-07,3.383842681614624e-07
35,1.0567866866040276e-06,3.654185434243118e-07
36,2.787311359497835e-07,2.999681498749851e-07
37,2.5679167947600945e-07,3.88866908451746e-07
38,1.779073954821797e-06,1.9838312255160417e-06
39,9.030324008563184e-07,5.734755745834264e-07
40,4.19783219740566e-07,2.7743800501411897e-07
41,3.3490576356598467e-07,2.780747081487789e-07
42,2.8763759019057034e-07,3.284598903974256e-07
43,2.401000074314652e-07,1.291823537030723e-07
44,1.8661681622234028e-07,1.631206885122083e-07
45,6.125443974269729e-07,7.948960956127848e-07
46,8.266112558885652e-07,9.397988378623268e-07
47,5.413133976617246e-07,6.223157811291458e-07
48,4.4404492882677005e-07,5.171767725187237e-07
49,3.2635054481033876e-07,6.043920279807935e-07
50,6.626545996368804e-07,6.511818924082036e-07
51,4.366332007066376e-07,8.214905733439082e-07
52,7.665031489523244e-07,8.999535907605605e-07
53,4.7426883043044654e-07,4.30293937370152e-07
54,2.733758321937785e-07,2.455431626913196e-07
55,2.0649933674121712e-07,5.452076266010408e-07
56,9.853237088464084e-07,5.4792860737507e-07
57,4.6412850451815757e-07,8.130135711326147e-07
58,6.334401518870436e-07,6.434829629142769e-07
59,3.821767506906326e-07,4.635759864868305e-07
60,3.5652948326969636e-07,2.742751519235753e-07
61,2.1678152961612795e-07,5.001072622690117e-07
62,9.818566013564123e-07,3.652079385574325e-07
63,3.450033432272903e-07,6.811120556449168e-07
64,6.929593041604676e-07,7.10671031356469e-07
65,4.3688976347766584e-07,7.547995437562349e-07
66,5.364369712879125e-07,5.537160632229643e-07
67,3.286184266926284e-07,6.370810297084972e-07
68,5.362123829399934e-07,4.5443198359862436e-07
69,3.040799469999911e-07,6.420668796636164e-07
70,7.480578574359242e-07,5.759217742706824e-07
71,4.107954794108082e-07,7.751992256999074e-07
72,6.481108130174107e-07,6.82685481478984e-07
73,4.0564685832578107e-07,6.521948421323032e-07
74,4.454167026324285e-07,4.179600807674433e-07
75,2.7268143298897485e-07,5.62637296752655e-07
76,6.251073045859812e-07,3.4240648005834373e-07
77,2.967616126170469e-07,4.718053787655663e-07
78,6.915419135111733e-07,2.9320949579414446e-07
79,2.916103483130428e-07,4.251867835591838e-07
80,6.482565026999509e-07,2.4393207809225714e-07
81,2.566860928254755e-07,3.168338196246623e-07
82,6.454220624618756e-07,1.452981450711377e-07
83,1.2411857142069493e-07,1.8681001279219345e-07
84,4.4926503051101463e-07,1.4969598396419315e-06
85,1.9480717128317337e-06,2.242633399873739e-06
86,9.354719168186421e-07,2.680802992927056e-07
87,2.2376747210728354e-07,1.1829148860442729e-07
88,1.2830246021167113e-07,9.725673066895979e-08
89,1.142066565762434e-07,1.3693642131329398e-07
90,1.1762916329871587e-07,2.0854099602729548e-07
91,2.5160147743008565e-07,5.518502348422771e-07
92,1.1764026339733391e-06,1.6357131471522735e-07
93,1.142711099078042e-07,9.326959116151556e-08
94,6.772053495751607e-08,7.715053840229302e-08
95,6.013182201058953e-07,2.666064574441407e-06
96,3.019333689735504e-06,1.4254135294322623e-06
97,6.969413561819238e-07,2.2400649868359324e-07
98,1.9454884636616043e-07,9.078304685772309e-08
99,9.664684341714747e-08,6.418045472855738e-08
100,0.005926371086388826,0.0032048202119767666
101,0.0019506686367094517,0.001549027394503355
102,0.001172211254015565,0.0009856573306024075
103,0.0008879206725396216,0.0008246009238064289
104,0.0007556346827186644,0.0007205745205283165
105,0.0006728707230649889,0.00064728973666206
106,0.000815246079582721,0.0006166858365759254
107,0.0006566424272023141,0.0006254558684304357
108,0.000567018985748291,0.0005594058893620968
109,0.0005216439021751285,0.0005210947128944099
110,0.0005019222153350711,0.0004976788768544793
111,0.00048318287008441985,0.0005028580781072378
112,0.00046090749674476683,0.00046512100379914045
113,0.00045549622154794633,0.00046525857760570943
114,0.00046862036106176674,0.0004918674239888787
115,0.0004560592642519623,0.0004682390426751226
116,0.00045000005047768354,0.00043204124085605145
117,0.0004386477521620691,0.0004264455637894571
118,0.0004215783847030252,0.00043126862146891654
119,0.0004043759254273027,0.0004054993041791022
120,0.00040660344529896975,0.0004191574698779732
121,0.0004108069697394967,0.0004368226509541273
122,0.00040593024459667504,0.0004245239542797208
123,0.00039923135773278773,0.0004198254318907857
124,0.00039600010495632887,0.00041860644705593586
125,0.0003944655181840062,0.000416360649978742
126,0.00039410623139701784,0.00040544828516431153
127,0.00039216657751239836,0.00037876731948927045
128,0.00038419669726863503,0.00036776531487703323
129,0.0003741005784831941,0.0003691629972308874
130,0.00036701009958051145,0.0003611764986999333
131,0.000367618486052379,0.0003673810278996825
132,0.0003710055607371032,0.0003879718133248389
133,0.0003722504188772291,0.00038926443085074425
134,0.0003710098681040108,0.0003753687778953463
135,0.0003672808816190809,0.0003568920074030757
136,0.00036137981805950403,0.00034782057628035545
137,0.00035575448418967426,0.00034554454032331705
138,0.00035249305074103177,0.0003457042621448636
139,0.0003522472979966551,0.0003553772112354636
140,0.0003532197733875364,0.00036853813799098134
141,0.0003537744632922113,0.0003724567359313369
142,0.00035316511639393866,0.0003689633740577847
143,0.00035174627555534244,0.00036162842297926545
144,0.0003497922152746469,0.0003522249171510339
145,0.0003471330855973065,0.0003437209816183895
146,0.0003440377477090806,0.00033897015964612365
147,0.00034144369419664145,0.0003383705916348845
148,0.0003398889966774732,0.00034161980147473514
149,0.00033914053346961737,0.0003474858240224421
150,0.00033869760227389634,0.00035241444129496813
151,0.0003381105198059231,0.00035460013896226883
152,0.00033719459315761924,0.00035467278212308884
153,0.0003360908303875476,0.0003535124706104398
154,0.00033488168264739215,0.00035227672196924686
155,0.0003337293746881187,0.0003511452814564109
156,0.0003326089936308563,0.0003503436455503106
