epoch,train_MSE,val_MSE
1,0.03307117521762848,0.03111634962260723
2,0.025973713025450706,0.021542100235819817
3,0.019544746726751328,0.017145371064543724
4,0.0173557847738266,0.016091972589492798
5,0.01655413582921028,0.01569974608719349
6,0.015734553337097168,0.014901201240718365
7,0.013767736963927746,0.013059400022029877
8,0.01071874052286148,0.008481984958052635
9,0.004202505107969046,0.001328909071162343
10,0.00080268265446648,0.00043095601722598076
11,0.0003004866011906415,0.00013813143596053123
12,0.0001162203261628747,6.896052946103737e-05
13,5.9535519540077075e-05,4.256035026628524e-05
14,3.692921745823696e-05,2.707021303649526e-05
15,2.6487981813261285e-05,2.1161107724765316e-05
16,2.1666053726221435e-05,1.8195803932030685e-05
17,1.8461572835803963e-05,1.6180054444703273e-05
18,1.5974619600456208e-05,1.38888999572373e-05
19,1.4064207789488137e-05,1.2396684724080842e-05
20,1.2639163287531119e-05,1.1251687283220235e-05
21,1.1434844054747373e-05,1.0279128218826372e-05
22,1.0448010471009184e-05,9.343523743154947e-06
23,9.632802175474353e-06,8.611373232270125e-06
24,8.977676770882681e-06,8.231069841713179e-06
25,8.29600958240917e-06,7.833727977413218e-06
26,7.580260898976121e-06,7.171088782342849e-06
27,6.980844318604795e-06,6.610283890040591e-06
28,6.55127905702102e-06,6.144472081359709e-06
29,6.181240223668283e-06,5.718748980143573e-06
30,5.891799901291961e-06,5.387009423429845e-06
31,5.6735793805273715e-06,5.1610190894280095e-06
32,5.5152895583887585e-06,5.037165010435274e-06
33,5.439433152787387e-06,4.94606092615868e-06
34,5.40411019755993e-06,4.59506827610312e-06
35,5.197428890824085e-06,4.240532234689454e-06
36,4.867401457886444e-06,4.09497442888096e-06
37,4.608627023117151e-06,3.9439346437575296e-06
38,4.41433667219826e-06,3.748500603251159e-06
39,4.273291779099964e-06,3.5763700907409657e-06
40,0.06489697843790054,0.03837712109088898
41,0.03893806040287018,0.03708697110414505
42,0.03278283029794693,0.036349810659885406
43,0.0324443019926548,0.03244493901729584
44,0.022879334166646004,0.01700182817876339
45,0.013671929016709328,0.013089441694319248
46,0.0083391098305583,0.006227729842066765
47,0.004061854910105467,0.00289425952360034
48,0.002692294307053089,0.0021497965790331364
49,0.0021009789779782295,0.0017094995127990842
50,0.0017396347830072045,0.0014916973887011409
51,0.0015457755653187633,0.0013704457087442279
52,0.0013967264676466584,0.0012210675049573183
53,0.001320760347880423,0.0011380688520148396
54,0.0011887967120856047,0.0009625598322600126
55,0.0010516558540984988,0.0009152014390565455
56,0.0010292755905538797,0.0008762258221395314
57,0.0009692363673821092,0.0007885248051024973
58,0.0008803108939900994,0.0007376711582764983
59,0.0008405122207477689,0.00073103210888803
60,0.0008264349889941514,0.0007024027872830629
61,0.0007892832509241998,0.0006578690954484046
62,0.0007401635521091521,0.0006288095028139651
63,0.0007123681134544313,0.0006313034100458026
64,0.000698951946105808,0.0006299990927800536
65,0.0006813746294938028,0.0006130748079158366
66,0.0006595762679353356,0.000598981452640146
67,0.0006383172003552318,0.0005927452584728599
68,0.0006216487381607294,0.0005896190996281803
69,0.00060725660296157,0.0005869861342944205
70,0.0005938144167885184,0.0005779573111794889
71,0.0005800381186418235,0.0005675851134583354
72,0.0005647320649586618,0.0005615439149551094
73,0.0005496073863469064,0.0005589436623267829
74,0.0005338656483218074,0.0005564293824136257
75,0.0005154212703928351,0.0005481978878378868
76,0.0004969178116880357,0.0005340634379535913
77,0.00047976855421438813,0.0005094356602057815
78,0.0004655698430724442,0.00047888627159409225
79,0.00045358194620348513,0.00044935077312402427
80,0.0004417487361934036,0.0004223227733746171
81,0.00042952579678967595,0.00039873007335700095
82,0.00041637590038590133,0.00037843151949346066
83,0.0004025395028293133,0.0003648112469818443
84,0.0003915127308573574,0.0003550352994352579
85,0.0003853302914649248,0.0003657405322883278
86,0.0003836771647911519,0.000372394424630329
87,0.0003771594201680273,0.00036191349499858916
88,0.00036360882222652435,0.0003379442496225238
89,0.0003485989000182599,0.0003009552019648254
90,0.0003422750742174685,0.00028052093693986535
91,0.0003271760360803455,0.0003715711063705385
92,0.00047194116632454097,0.00033529006759636104
93,0.0003589801490306854,0.000288971554255113
94,0.00032278589787892997,0.0002819273213390261
95,0.0003131368721369654,0.00026937853544950485
96,0.0003043664328288287,0.0002724864461924881
97,0.0003033434913959354,0.0002938096586149186
98,0.00030813386547379196,0.00029424706008285284
99,0.0003073820553254336,0.00027950856019742787
100,0.00030060476274229586,0.0002679220342542976
101,0.0002960127021651715,0.00024652891443111
102,0.00028569475398398936,0.00023416308977175504
103,0.0002839442458935082,0.00034183700336143374
104,0.00042893853969872,0.0002374314790358767
105,0.00032047610147856176,0.00027439152472652495
106,0.0003052607935387641,0.00024907823535613716
107,0.00030082755256444216,0.00023211650841403753
108,0.00028484335052780807,0.00022671690385323018
109,0.0002655012649483979,0.0002295883314218372
110,0.00026211762451566756,0.00026373332366347313
111,0.0002653432893566787,0.00028990599093958735
112,0.0002686282678041607,0.0002918574900832027
113,0.00027162046171724796,0.0003074430860579014
114,0.00027919188141822815,0.0003261396777816117
115,0.000292501732474193,0.00028319444390945137
116,0.0002918096724897623,0.00021691071742679924
117,0.0002580726286396384,0.0002141747681889683
118,0.00023726951621938497,0.00023856326879467815
119,0.00025884233764372766,0.00026315206196159124
120,0.000280270935036242,0.0002493311185389757
121,0.00026903298567049205,0.00022433158301282674
122,0.00023979840625543147,0.0002091573114739731
123,0.000228560806135647,0.00022146703850012273
124,0.0002315646706847474,0.00024374540953431278
125,0.0002529645571485162,0.0002485774166416377
126,0.0002753953158389777,0.00027154377312399447
127,0.00025048936367966235,0.00024078524438664317
128,0.00022248768073040992,0.00021168967941775918
129,0.00021661857317667454,0.00021093634131830186
130,0.00022608402650803328,0.00022831794922240078
131,0.00025144018582068384,0.00025756904506124556
132,0.0002766216639429331,0.0002858121879398823
133,0.0002478548267390579,0.0002426028368063271
134,0.00021997364819981158,0.00022070981503929943
135,0.00021509120415430516,0.0002335486642550677
136,0.00022064692166168243,0.000247836927883327
137,0.0002326093817828223,0.0002715156879276037
138,0.00025449361419305205,0.0003165678645018488
139,0.0002817852364387363,0.0002895606157835573
140,0.00025546576944179833,0.0001775899581843987
