state,input
"[25.159,10.104,45.949,-6.415]","[-4.487]"
"[25.151,15.762,45.926,-7.961]","[-4.486]"
"[25.187,17.962,45.888,-7.329]","[-4.485]"
"[25.300,13.348,45.832,-3.036]","[-4.469]"
"[25.497,-0.781,45.761,6.041]","[-4.447]"
"[25.690,-24.523,45.713,19.596]","[-4.354]"
"[25.764,-57.325,45.732,36.967]","[-4.190]"
"[11.176,244.361,52.378,-57.749]","[-2.102]"
"[12.157,223.306,52.132,-55.486]","[-2.300]"
"[13.033,196.777,51.902,-51.126]","[-2.384]"
"[13.795,165.759,51.693,-44.955]","[-2.510]"
"[14.429,131.507,51.512,-37.340]","[-2.548]"
"[14.921,96.356,51.364,-28.955]","[-2.579]"
"[15.253,62.908,51.257,-20.553]","[-2.575]"
"[15.408,33.768,51.196,-12.884]","[-2.566]"
"[15.385,11.071,51.183,-6.579]","[-2.551]"
"[15.240,-4.910,51.206,-1.780]","[-2.545]"
"[15.046,-14.372,51.244,1.494]","[-2.537]"
"[14.875,-17.509,51.281,3.223]","[-2.531]"
"[14.784,-14.893,51.301,3.483]","[-2.530]"
"[14.764,-8.598,51.307,2.720]","[-2.527]"
"[14.793,-1.073,51.305,1.477]","[-2.526]"
"[14.848,5.232,51.299,0.295]","[-2.525]"
"[14.908,8.434,51.295,-0.401]","[-2.524]"
"[14.965,8.915,51.293,-0.649]","[-2.523]"
"[15.012,7.627,51.291,-0.604]","[-2.521]"
"[15.043,5.518,51.290,-0.420]","[-2.521]"
"[15.054,3.409,51.288,-0.226]","[-2.520]"
"[15.049,1.608,51.286,-0.050]","[-2.518]"
"[15.037,0.290,51.285,0.106]","[-2.517]"
"[15.024,-0.366,51.285,0.241]","[-2.516]"
"[15.017,-0.265,51.288,0.350]","[-2.515]"
"[15.016,0.362,51.291,0.414]","[-2.514]"
"[15.021,1.204,51.295,0.412]","[-2.513]"
"[15.031,1.946,51.298,0.321]","[-2.512]"
"[15.045,2.347,51.300,0.135]","[-2.510]"
"[15.061,2.441,51.300,-0.104]","[-2.510]"
"[-30.505,-18.304,41.278,-18.705]","[5.007]"
"[-30.710,-9.977,41.084,-13.461]","[4.994]"
"[-30.936,6.666,40.859,-1.466]","[4.934]"
"[-31.081,31.909,40.694,17.365]","[4.883]"
"[-31.042,66.036,40.683,43.116]","[4.739]"
"[-30.736,108.543,40.899,75.271]","[4.547]"
"[-30.173,155.788,41.324,110.914]","[4.438]"
"[-29.381,203.339,41.923,146.526]","[4.225]"
"[-28.392,246.768,42.657,178.589]","[4.107]"
"[-27.236,282.174,43.493,204.014]","[3.888]"
"[-25.951,307.778,44.408,221.411]","[3.790]"
"[-24.574,322.330,45.383,229.822]","[3.567]"
"[-23.145,324.580,46.398,228.286]","[3.359]"
"[-21.707,314.236,47.427,216.530]","[3.250]"
"[-20.324,294.826,48.409,197.043]","[3.041]"
"[-19.067,270.836,49.277,173.001]","[2.848]"
"[-18.005,246.750,49.963,147.580]","[2.734]"
"[-17.181,226.607,50.422,123.648]","[2.532]"
"[-16.516,212.658,50.713,102.830]","[2.428]"
"[-15.908,206.706,50.919,86.443]","[2.219]"
"[-15.249,210.554,51.121,75.804]","[2.113]"
"[-14.455,224.885,51.384,71.559]","[1.906]"
"[-13.519,245.904,51.700,71.680]","[1.723]"
"[-12.452,268.691,52.044,73.471]","[1.634]"
"[-11.268,288.330,52.388,74.232]","[1.429]"
"[-9.984,300.568,52.712,71.854]","[1.224]"
"[-8.648,303.805,53.007,66.573]","[1.122]"
"[-7.310,297.109,53.270,59.210]","[0.923]"
"[-6.023,279.545,53.496,50.589]","[0.811]"
"[-4.837,250.818,53.683,41.460]","[0.611]"
"[-8.539,210.913,53.122,43.458]","[0.980]"
"[-7.810,227.048,53.285,37.623]","[0.774]"
"[-6.980,248.197,53.431,32.271]","[0.672]"
"[-5.984,271.152,53.556,26.866]","[0.470]"
"[-4.782,292.883,53.658,20.985]","[0.367]"
"[-3.427,311.074,53.734,14.651]","[0.164]"
"[-1.992,323.587,53.783,8.004]","[-0.040]"
"[-0.551,328.286,53.803,1.179]","[-0.140]"
"[0.833,323.716,53.793,-5.642]","[-0.343]"
"[2.144,311.163,53.754,-12.095]","[-0.443]"
"[3.375,292.595,53.687,-17.772]","[-0.647]"
"[4.521,269.982,53.594,-22.268]","[-0.754]"
"[5.576,245.142,53.477,-25.262]","[-0.961]"
"[6.530,219.288,53.347,-26.792]","[-1.169]"
"[7.371,193.484,53.215,-26.984]","[-1.264]"
"[8.089,168.795,53.091,-25.964]","[-1.474]"
"[8.678,146.024,52.985,-23.890]","[-1.574]"
"[9.161,124.942,52.897,-21.046]","[-1.742]"
"[9.567,105.061,52.824,-17.748]","[-1.833]"
"[9.923,85.893,52.763,-14.312]","[-1.864]"
"[10.249,67.104,52.713,-11.014]","[-1.887]"
"[10.528,48.972,52.674,-7.959]","[-1.888]"
"[10.733,31.930,52.647,-5.215]","[-1.880]"
"[10.837,16.411,52.633,-2.848]","[-1.870]"
"[10.825,2.905,52.633,-0.914]","[-1.865]"
"[10.728,-7.865,52.642,0.568]","[-1.856]"
"[10.588,-15.118,52.657,1.590]","[-1.849]"
"[10.448,-18.071,52.672,2.143]","[-1.845]"
"[10.342,-16.374,52.684,2.240]","[-1.841]"
"[10.276,-11.385,52.692,1.988]","[-1.838]"
"[7.676,-311.426,52.956,51.687]","[-1.119]"
"[6.286,-302.393,53.163,49.794]","[-0.917]"
"[4.972,-284.303,53.360,46.903]","[-0.812]"
"[3.797,-259.545,53.547,43.071]","[-0.607]"
"[2.810,-230.762,53.723,38.345]","[-0.505]"
"[1.997,-201.608,53.881,32.726]","[-0.303]"
"[1.327,-175.984,54.015,26.206]","[-0.099]"
"[0.770,-157.795,54.118,18.777]","[0.000]"
"[0.291,-150.110,54.183,10.468]","[0.205]"
"[-0.165,-152.664,54.211,1.459]","[0.305]"
"[-0.659,-164.357,54.199,-8.035]","[0.513]"
"[-1.252,-184.089,54.148,-17.795]","[0.710]"
"[-1.993,-210.380,54.058,-27.636]","[0.810]"
"[-2.888,-240.224,53.928,-37.501]","[1.011]"
"[-3.932,-270.235,53.758,-47.360]","[1.112]"
"[-5.121,-297.027,53.548,-57.188]","[1.315]"
"[-6.441,-317.734,53.299,-66.881]","[1.514]"
"[-7.852,-331.578,53.011,-76.047]","[1.616]"
"[-9.307,-338.303,52.683,-84.216]","[1.816]"
"[-10.757,-337.652,52.318,-90.920]","[1.918]"
"[-12.161,-329.541,51.917,-95.698]","[2.120]"
"[-13.499,-314.576,51.494,-98.122]","[2.229]"
"[-14.758,-293.535,51.063,-97.771]","[2.438]"
"[-15.925,-267.196,50.639,-94.223]","[2.635]"
"[-16.986,-236.463,50.237,-87.266]","[2.738]"
"[-17.919,-202.740,49.871,-77.523]","[2.938]"
"[-18.700,-167.557,49.555,-65.824]","[3.036]"
"[-19.307,-132.446,49.303,-53.000]","[3.198]"
"[-19.728,-98.892,49.125,-39.889]","[3.250]"
"[-19.986,-68.199,49.013,-27.353]","[3.310]"
"[-20.431,-0.284,48.778,-0.447]","[3.204]"
"[-20.433,-0.170,48.776,-0.438]","[3.204]"
"[-20.433,-0.045,48.773,-0.387]","[3.203]"
"[-20.432,0.079,48.771,-0.302]","[3.202]"
"[-20.430,0.191,48.769,-0.196]","[3.201]"
"[-20.429,0.277,48.767,-0.080]","[3.201]"
"[-20.427,0.327,48.768,0.032]","[3.200]"
"[-20.426,0.337,48.770,0.129]","[3.200]"
"[-20.425,0.306,48.772,0.200]","[3.199]"
"[-20.424,0.232,48.773,0.232]","[3.199]"
"[-20.422,0.116,48.774,0.219]","[3.198]"
"[-20.421,-0.025,48.775,0.171]","[3.198]"
"[-20.421,-0.171,48.775,0.102]","[3.197]"
"[-20.421,-0.304,48.775,0.027]","[3.196]"
"[-20.424,-0.406,48.775,-0.043]","[3.196]"
"[-20.427,-0.479,48.775,-0.107]","[3.195]"
"[-20.431,-0.526,48.775,-0.169]","[3.194]"
"[-20.433,-0.554,48.774,-0.232]","[3.194]"
"[-20.435,-0.564,48.773,-0.297]","[3.193]"
"[-20.436,-0.561,48.771,-0.357]","[3.193]"
"[-20.437,-0.545,48.769,-0.401]","[3.192]"
"[-20.439,-0.518,48.767,-0.420]","[3.192]"
"[-20.442,-0.487,48.765,-0.411]","[3.191]"
"[-20.445,-0.481,48.764,-0.404]","[3.191]"
"[-20.448,-0.534,48.762,-0.436]","[3.190]"
"[-20.450,-0.679,48.761,-0.545]","[3.189]"
"[-20.451,-0.908,48.760,-0.732]","[3.189]"
"[-20.452,-1.045,48.759,-0.863]","[3.189]"
"[-20.455,-0.871,48.756,-0.768]","[3.188]"
"[-20.461,-0.170,48.750,-0.277]","[3.188]"
"[-2.305,-111.035,53.838,6.419]","[0.454]"
"[-2.715,-64.695,53.870,7.719]","[0.463]"
"[-2.852,-22.875,53.910,8.625]","[0.457]"
"[-2.702,9.970,53.956,8.790]","[0.451]"
"[-2.358,32.616,54.002,8.226]","[0.441]"
"[-1.941,44.646,54.045,7.030]","[0.436]"
"[-1.572,45.643,54.077,5.304]","[0.427]"
"[-1.347,36.028,54.096,3.181]","[0.423]"
"[-1.261,19.569,54.101,0.943]","[0.417]"
"[-1.286,0.870,54.095,-1.095]","[0.414]"
"[-1.391,-15.464,54.080,-2.616]","[0.413]"
"[-1.549,-25.783,54.057,-3.384]","[0.412]"
"[-1.732,-30.248,54.033,-3.481]","[0.412]"
"[-1.913,-29.972,54.010,-3.070]","[0.412]"
"[-2.067,-26.071,53.994,-2.312]","[0.412]"
"[-2.172,-19.689,53.988,-1.373]","[0.412]"
"[-2.229,-12.085,53.990,-0.420]","[0.411]"
"[-2.245,-4.551,53.997,0.377]","[0.411]"
"[-2.226,1.625,54.006,0.848]","[0.411]"
"[-2.179,5.437,54.014,0.880]","[0.410]"
"[-2.119,7.021,54.019,0.579]","[0.410]"
"[-2.059,6.797,54.022,0.106]","[0.410]"
"[-2.015,5.188,54.021,-0.375]","[0.409]"
"[-1.998,2.640,54.016,-0.731]","[0.409]"
"[-2.005,-0.283,54.008,-0.935]","[0.408]"
"[-2.028,-2.991,54.000,-0.989]","[0.408]"
"[-2.060,-4.893,53.994,-0.893]","[0.407]"
"[-2.095,-5.562,53.990,-0.661]","[0.407]"
