epoch,train_MSE,val_MSE,val_MAE_recon,val_MAE_pred,val_MAE_lin
1,0.007215261925011873,0.0020535930525511503,0.09885890036821365,0.0938543826341629,0.0341804176568985
2,0.0019003826892003417,0.001380939851514995,0.07755150645971298,0.09521103650331497,0.06041885167360306
3,0.0008480342221446335,0.0005369483260437846,0.05296490713953972,0.1064971461892128,0.08026354014873505
4,0.0004413011483848095,0.000294279248919338,0.03451624885201454,0.11301763355731964,0.08743342757225037
5,0.00021406363521236926,0.00013774425315205008,0.023053506389260292,0.11024320125579834,0.09436198323965073
6,9.440084977541119e-05,7.684145384700969e-05,0.017456386238336563,0.11210272461175919,0.09877143800258636
7,4.70333470730111e-05,3.235226176911965e-05,0.01039197389036417,0.11063539981842041,0.10344740003347397
8,2.083318031509407e-05,1.6011323168640956e-05,0.00820893794298172,0.11203638464212418,0.10669645667076111
9,1.0716106771724299e-05,9.388175385538489e-06,0.006843704730272293,0.1128511130809784,0.10758829116821289
10,6.992318049015012e-06,5.89703722653212e-06,0.0052401041612029076,0.11175134778022766,0.1074768453836441
11,8.030478966247756e-06,8.239392627729103e-06,0.0071923029609024525,0.1113990992307663,0.10831502079963684
12,4.046321919304319e-06,5.26032908965135e-06,0.005272158421576023,0.11198507249355316,0.10791400820016861
13,6.1115729295124765e-06,8.022750989766791e-06,0.007630018517374992,0.1110503152012825,0.10849670320749283
14,3.988368462159997e-06,4.725469352706568e-06,0.004922742955386639,0.11180029809474945,0.10892433673143387
15,3.4312097341171466e-06,6.052946446288843e-06,0.00642860122025013,0.11132830381393433,0.10884082317352295
16,3.447411245360854e-06,3.745814410649473e-06,0.004565532319247723,0.11147324740886688,0.10888957977294922
17,4.049928520544199e-06,9.380190022056922e-06,0.008407119661569595,0.11095187813043594,0.10888336598873138
18,7.105097665771609e-06,3.861900950141717e-06,0.004215543158352375,0.11209811270236969,0.10978303104639053
19,2.063970669041737e-06,3.5271423257654533e-06,0.003864854807034135,0.11197851598262787,0.10951708257198334
20,3.6244914554117713e-06,7.0667656473233365e-06,0.007296099327504635,0.11095480620861053,0.10942767560482025
21,4.7336234274553135e-06,3.7563927435257938e-06,0.004071356728672981,0.11180383712053299,0.10963639616966248
22,2.420033069938654e-06,4.077017365489155e-06,0.0049363612197339535,0.11148405075073242,0.10948088020086288
23,4.214454747852869e-06,4.88462046632776e-06,0.005518028512597084,0.11135947704315186,0.10973547399044037
24,3.388917548363679e-06,4.17497540183831e-06,0.004731058143079281,0.11192602664232254,0.10977648943662643
25,4.677539891417837e-06,4.65981247543823e-06,0.00488250283524394,0.11163093149662018,0.10997658967971802
26,3.037603846678394e-06,4.512919531407533e-06,0.004894857294857502,0.11187999695539474,0.10992848873138428
27,4.733174137072638e-06,1.180330309580313e-05,0.008679810911417007,0.11114980280399323,0.10988026857376099
28,4.802735929843038e-06,3.963754352298565e-06,0.004409297835081816,0.11213867366313934,0.11045197397470474
29,2.6419302230351605e-06,5.267015239951434e-06,0.005464717745780945,0.11184200644493103,0.1101340800523758
30,0.005211603362113237,0.004021812230348587,0.10039534419775009,0.08257575333118439,0.0026802890934050083
31,0.003803874831646681,0.0038545383140444756,0.0965615063905716,0.08211734145879745,0.00440995953977108
32,0.003665532451122999,0.0037289238534867764,0.09450230002403259,0.08219919353723526,0.004619593266397715
33,0.0035103894770145416,0.0034779333509504795,0.08736032247543335,0.08293696492910385,0.004718774929642677
34,0.0031457298900932074,0.002954000374302268,0.07399360835552216,0.08068203926086426,0.006641885731369257
35,0.0025640891399234533,0.0022014561109244823,0.05964655056595802,0.07713023573160172,0.0068964241072535515
36,0.00195657042786479,0.0018220595084130764,0.056131698191165924,0.06681888550519943,0.006140709854662418
37,0.0015501823509112,0.0013227410381659865,0.04517315328121185,0.060201410204172134,0.005933883134275675
38,0.001138474210165441,0.0008221995085477829,0.03047849051654339,0.04696691781282425,0.005648205988109112
39,0.0005460177781060338,0.00032251363154500723,0.018662039190530777,0.02736893855035305,0.004702137783169746
40,0.00021374988136813045,0.00016047334065660834,0.014553740620613098,0.0200628824532032,0.0031656231731176376
41,0.000154527195263654,0.00016019458416849375,0.025026991963386536,0.017483055591583252,0.0024486437905579805
42,7.358641596511006e-05,5.752454308094457e-05,0.00917255599051714,0.012900881469249725,0.0018017911352217197
43,3.834380186162889e-05,4.373143019620329e-05,0.00923784077167511,0.010703708045184612,0.001406195922754705
44,2.9526698199333623e-05,3.536412259563804e-05,0.00803091935813427,0.010349051095545292,0.0011690324172377586
45,3.331713378429413e-05,3.4777440305333585e-05,0.00857049971818924,0.010282752104103565,0.0010262939613312483
46,2.5356885089422576e-05,2.986211984534748e-05,0.007669023238122463,0.009516464546322823,0.0009520276798866689
47,2.2197198632056825e-05,2.740788841038011e-05,0.006957351695746183,0.009407436475157738,0.0009032437228597701
48,2.4148144802893512e-05,2.8034017304889858e-05,0.006996976211667061,0.009361803531646729,0.0008954467484727502
49,1.9394676201045513e-05,3.162054417771287e-05,0.008351023308932781,0.010019092820584774,0.0008977645193226635
50,2.226991819043178e-05,3.058595029870048e-05,0.008581620641052723,0.009870386682450771,0.000842815381474793
51,2.1005029338994063e-05,3.537107477313839e-05,0.010008851066231728,0.0103391632437706,0.0008440025267191231
52,2.1063444364699535e-05,3.429002026678063e-05,0.009973697364330292,0.010224134661257267,0.0008166724001057446
53,1.9881777916452847e-05,3.4762215364025906e-05,0.010137807577848434,0.010231904685497284,0.0008066833252087235
54,2.0039311493746936e-05,3.557887612259947e-05,0.010373703204095364,0.010319141671061516,0.0008003514958545566
55,1.9500399503158405e-05,3.3779633668018505e-05,0.010015328414738178,0.010083703324198723,0.0007834492716938257
56,1.9014616555068642e-05,3.565354199963622e-05,0.010554157197475433,0.010276290588080883,0.000777800043579191
57,1.9721286662388593e-05,3.683468094095588e-05,0.010726678185164928,0.010344395413994789,0.0007819360471330583
58,1.815344876376912e-05,3.134128201054409e-05,0.009656598791480064,0.009796654805541039,0.0007328476058319211
59,1.858498580986634e-05,3.6835797800449654e-05,0.010913301259279251,0.010307403281331062,0.000769012956880033
60,1.8702914530877024e-05,3.36582561430987e-05,0.010316909290850163,0.009899748489260674,0.0007382695330306888
61,1.678597618592903e-05,3.205487155355513e-05,0.010081046260893345,0.009815433993935585,0.0007068956620059907
62,1.7726450096233748e-05,3.1625844712834805e-05,0.009958761744201183,0.009719086810946465,0.000704677717294544
63,1.7219936125911772e-05,3.090355676249601e-05,0.009812765754759312,0.009631653316318989,0.0006982087506912649
64,1.651854472584091e-05,2.7868280085385777e-05,0.009033472277224064,0.009394055232405663,0.0006581329507753253
65,1.550773231429048e-05,2.4761928216321394e-05,0.007703444920480251,0.009241128340363503,0.000610041432082653
66,1.2699887520284392e-05,2.5586925403331406e-05,0.008452575653791428,0.009615293703973293,0.0005409797304309905
67,1.2563133168441709e-05,2.130519351339899e-05,0.007446590345352888,0.00879640318453312,0.0004897428443655372
68,1.2068286196154077e-05,1.8324180928175338e-05,0.006200276780873537,0.008361207321286201,0.0004989520530216396
69,1.3111474800098222e-05,2.134349779225886e-05,0.0071068257093429565,0.009013350121676922,0.000506221957039088
70,1.5221190551528707e-05,2.0559578842949122e-05,0.007034639827907085,0.00887361355125904,0.0004974831244908273
71,1.3264116205391474e-05,1.6127311027958058e-05,0.00513050751760602,0.007560924161225557,0.0005253352574072778
72,1.6891839550225995e-05,1.606937985343393e-05,0.0051383329555392265,0.007601254619657993,0.0005206108326092362
73,1.864208752522245e-05,4.500150680541992e-05,0.012657251209020615,0.011045851744711399,0.0005203904584050179
74,1.4541114069288597e-05,1.77591537067201e-05,0.006471448577940464,0.008349666371941566,0.0004639720427803695
75,1.1139848538732622e-05,1.471210089221131e-05,0.00569377513602376,0.006883108057081699,0.000445504963863641
76,1.459594386687968e-05,1.5213649021461606e-05,0.00571778230369091,0.006991593632847071,0.00044577399967238307
77,1.464549404772697e-05,2.0929137463099323e-05,0.007918361574411392,0.007708331104367971,0.0003991161356680095
78,1.3785649571218528e-05,1.7197675333591178e-05,0.005690306890755892,0.008243340998888016,0.00047150650061666965
79,1.201999475597404e-05,1.5703395547461696e-05,0.006329812575131655,0.006974590942263603,0.0004326014022808522
80,1.7937840311788023e-05,2.1874100639251992e-05,0.007159453816711903,0.008845600299537182,0.000527792377397418
81,1.0139638106920756e-05,1.5183162759058177e-05,0.00511308154091239,0.007333904504776001,0.00045300807687453926
82,2.3950058675836772e-05,2.6837384211830795e-05,0.00842742808163166,0.009513727389276028,0.0006368287722580135
83,1.1155800166307017e-05,1.7419391951989383e-05,0.005920817609876394,0.008342173881828785,0.00044422614155337214
84,8.95616176421754e-06,1.5060024452395737e-05,0.0048904260620474815,0.007519564591348171,0.0004560009983833879
85,1.6346120901289396e-05,1.9107454136246815e-05,0.006841087248176336,0.0072404127568006516,0.0005474626668728888
86,1.3266090718389023e-05,2.184361255785916e-05,0.007887882180511951,0.009087130427360535,0.0004018095205537975
87,9.603380021871999e-06,1.475057979405392e-05,0.004898512735962868,0.007525146007537842,0.0004457095346879214
88,1.4231419299903791e-05,1.695221544650849e-05,0.007002853788435459,0.006845104042440653,0.000455078377854079
89,1.2708924259641208e-05,1.5392846762551926e-05,0.005674957297742367,0.007351280190050602,0.0004010650154668838
90,1.3138740541762672e-05,1.7678885342320427e-05,0.0075509389862418175,0.006718561053276062,0.0004531650338321924
91,1.2439577403711155e-05,1.790482383512426e-05,0.006494863424450159,0.008404886350035667,0.0003971262485720217
92,1.2723814506898634e-05,1.6795243936940096e-05,0.007303121034055948,0.006680146791040897,0.00043132694554515183
93,1.2314890227571595e-05,1.9716455426532775e-05,0.006745622493326664,0.008998304605484009,0.0004265572060830891
94,1.0561740964476485e-05,1.3681309610547032e-05,0.004507599398493767,0.006963815074414015,0.0004640346742235124
95,8.954175427788869e-06,1.8760807506623678e-05,0.006664121989160776,0.008336099795997143,0.0005409651203081012
96,1.7003809261950664e-05,1.8636816093930975e-05,0.005864622071385384,0.008523586206138134,0.000519018096383661
97,1.1115746019640937e-05,1.525835796201136e-05,0.005559942685067654,0.006743717007339001,0.0005026220460422337
98,1.0271315659338143e-05,1.560312375659123e-05,0.006940382532775402,0.0062436433508992195,0.0004256940446794033
99,1.1721199371095281e-05,1.4736589037056547e-05,0.005703124217689037,0.006323918700218201,0.0004594165657181293
100,1.1434537555032875e-05,1.4771608221053611e-05,0.0056806281208992004,0.0063858432695269585,0.00047477532643824816
101,1.074396823241841e-05,1.5664058082620613e-05,0.006952851079404354,0.006536454893648624,0.0003879208234138787
102,1.4839200048299972e-05,5.392658931668848e-05,0.014388383366167545,0.011454084888100624,0.0005447728326544166
103,1.884952507680282e-05,2.1701951482100412e-05,0.007712606340646744,0.008161421865224838,0.0006402754224836826
104,9.071887689060532e-06,1.471864652557997e-05,0.006207729689776897,0.006352799013257027,0.0004440135962795466
105,6.619584837608272e-06,1.3058765944151673e-05,0.0051769716665148735,0.006228166166692972,0.0004782207543030381
106,8.802045158518013e-06,1.3827242582920007e-05,0.006619434338063002,0.005959887057542801,0.0004012438585050404
107,1.3305182619660627e-05,1.600255745870527e-05,0.006971443071961403,0.006131019443273544,0.0004888961557298899
108,9.04984881344717e-06,1.1272059964539949e-05,0.004664899781346321,0.006168470252305269,0.0004350383533164859
109,1.33321518660523e-05,1.4625900803366676e-05,0.006308234762400389,0.00608205609023571,0.0004905490204691887
110,9.718940418679267e-06,1.3670081898453645e-05,0.005200475919991732,0.007267017383128405,0.00037883486947976053
111,9.14770134841092e-06,1.1790340067818761e-05,0.005536523647606373,0.005850646644830704,0.00038374203722923994
112,7.643677236046642e-06,1.3348160791792907e-05,0.005624683108180761,0.006593602243810892,0.00033428065944463015
113,1.257011535926722e-05,1.559200609335676e-05,0.007140555884689093,0.00654405914247036,0.00033934597740881145
114,9.600070370652247e-06,1.6802416212158278e-05,0.006518990732729435,0.00793512910604477,0.0003586650709621608
115,8.900758075469639e-06,1.3031727576162666e-05,0.004458523355424404,0.006879692897200584,0.0004725926846731454
116,7.632627784914803e-06,1.3098027011437807e-05,0.004913332872092724,0.007142944261431694,0.0003744765417650342
117,9.574665455147624e-06,1.4780347555642948e-05,0.00527965510264039,0.007687440607696772,0.00041526686982251704
118,1.2276754205231555e-05,1.3681010386790149e-05,0.004782961681485176,0.007546702399849892,0.0004290327487979084
119,1.0039261724159587e-05,1.270068150915904e-05,0.0043727802112698555,0.007034863345324993,0.0004114731855224818
120,1.0837838090083096e-05,1.4511610061163083e-05,0.006079109851270914,0.006076257675886154,0.0004604850837495178
121,9.612354006094392e-06,1.2098539627913851e-05,0.004992764443159103,0.006529832258820534,0.00044403376523405313
122,8.21267985884333e-06,2.3456796043319628e-05,0.009197951294481754,0.007810650393366814,0.00034213170874863863
123,1.0501885299163405e-05,1.2893343409814406e-05,0.005024898797273636,0.006213150452822447,0.0004921572399325669
124,9.60310353548266e-06,2.9735598218394443e-05,0.009971904568374157,0.00922781229019165,0.00032060412922874093
125,9.943053555616643e-06,1.4662757166661322e-05,0.005936883389949799,0.007057275623083115,0.0003612817090470344
126,6.6972306740353815e-06,1.9342593077453785e-05,0.0074353632517158985,0.008496567606925964,0.0003457294369582087
127,8.282137059723027e-06,1.3152161045582034e-05,0.006174251437187195,0.006042120046913624,0.000439721392467618
128,1.0526518963160925e-05,1.1534346413100138e-05,0.005179150030016899,0.006129472516477108,0.0003895590780302882
129,7.220327461254783e-06,1.1131944120279513e-05,0.004211733117699623,0.006279300898313522,0.0004327957867644727
130,1.6380972738261335e-05,2.2355758119374514e-05,0.009604943916201591,0.008061541244387627,0.0006232572486624122
131,1.1120128874608781e-05,1.4997082871559542e-05,0.0064666010439395905,0.006101858336478472,0.0004957037162967026
132,8.045808499446139e-06,2.2021222321200185e-05,0.008621134795248508,0.008121168240904808,0.00030893695657141507
133,6.4778632804518566e-06,1.7822818335844204e-05,0.007729753851890564,0.007231445051729679,0.00031904340721666813
134,5.864106697117677e-06,1.4670555174234323e-05,0.006295823957771063,0.006994265131652355,0.00034291992778889835
135,9.56033545662649e-06,1.7956048395717517e-05,0.007055908907204866,0.007633312605321407,0.0003011446970049292
136,7.4463296186877415e-06,1.1717539564415347e-05,0.004892218392342329,0.00663166306912899,0.00034259760286659
137,7.982242095749825e-06,1.7136027963715605e-05,0.006805058103054762,0.007585629355162382,0.00030767411226406693
138,1.3536648111767136e-05,1.4214427210390568e-05,0.005008470267057419,0.007722441107034683,0.000430748681537807
139,8.523129508830607e-06,1.5120731404749677e-05,0.005984397605061531,0.007632410153746605,0.0003300124080851674
140,7.560975518572377e-06,1.3187220247345977e-05,0.0048662228509783745,0.007344579789787531,0.00038129795575514436
141,7.215459390863543e-06,1.2051467820128892e-05,0.004307905677706003,0.00690189003944397,0.00038828206015750766
142,6.592727459064918e-06,1.1260407518420834e-05,0.0041780536994338036,0.0062366146594285965,0.00044844046351499856
143,6.997363470873097e-06,1.1880085367010906e-05,0.004641768988221884,0.006425570696592331,0.0004922110820189118
144,1.003278430289356e-05,2.1444902813527733e-05,0.009232183918356895,0.007566157262772322,0.0003829495399259031
145,6.505811143142637e-06,1.2223967132740654e-05,0.005013616289943457,0.006822520866990089,0.00033044774318113923
146,7.779403858876321e-06,1.2878756933787372e-05,0.005498067010194063,0.00677633797749877,0.00032860704232007265
147,1.1578277735679876e-05,1.1219580301258247e-05,0.0044632237404584885,0.006334965582937002,0.00039591474342159927
148,6.574880899279378e-06,1.4498158634523861e-05,0.006076177582144737,0.007045126520097256,0.0003124538343399763
149,6.016771749273175e-06,1.1094470210082363e-05,0.004859411157667637,0.006246636621654034,0.0003345994628034532
150,9.469301403441932e-06,1.2725718988804147e-05,0.006117186509072781,0.006227565463632345,0.00033016118686646223
151,5.41739655091078e-06,1.1550582712516189e-05,0.005024475511163473,0.005984866991639137,0.00042405162821523845
152,9.722602044348605e-06,2.276211671414785e-05,0.009023209102451801,0.008354701101779938,0.0003339662798680365
153,8.642680768389255e-06,1.1490699762362055e-05,0.004428134765475988,0.006569165736436844,0.00038239904097281396
154,4.892279775958741e-06,1.2304628398851492e-05,0.006035554222762585,0.006139419041574001,0.00037650627200491726
155,1.0024992661783472e-05,1.2637538929993752e-05,0.0056545971892774105,0.006441997364163399,0.000300377985695377
156,5.870646873518126e-06,1.2485903425840661e-05,0.0054623219184577465,0.006501923315227032,0.00037363709998317063
157,6.760028099961346e-06,1.1783957234001718e-05,0.0054514408111572266,0.006358890328556299,0.0003484916524030268
158,1.2099119885533582e-05,1.1985346645815298e-05,0.003656226908788085,0.006804084405303001,0.0004797674482688308
159,7.597976946271956e-06,1.4893102161295246e-05,0.006440642289817333,0.00718668382614851,0.00030833634082227945
160,6.358541668305406e-06,1.2088949006283656e-05,0.004430248402059078,0.006917916238307953,0.00039208054658956826
161,5.621647687803488e-06,1.0879765795834828e-05,0.0037254225462675095,0.006457656156271696,0.0004147113359067589
162,6.9866910052951425e-06,1.156113012257265e-05,0.004245634190738201,0.006064301356673241,0.0004841999616473913
163,7.537789315392729e-06,1.2605120900843758e-05,0.004899639170616865,0.006003435701131821,0.0004989819135516882
164,7.4135095928795636e-06,1.1563328371266834e-05,0.00541942473500967,0.006112614180892706,0.0003756267251446843
165,8.413180694333278e-06,1.1980205272266176e-05,0.005755526013672352,0.006291484925895929,0.00039559564902447164
166,5.575815066549694e-06,1.0479584489075933e-05,0.004059044644236565,0.006195626687258482,0.00040978851029649377
167,7.922750228317454e-06,1.3353943359106779e-05,0.006554319988936186,0.006568879820406437,0.00033789314329624176
168,8.290955520351417e-06,1.3185489478928503e-05,0.005670126061886549,0.006930848117917776,0.000400113029172644
169,5.593503374257125e-06,1.4839734831184614e-05,0.0062141199596226215,0.007439048960804939,0.00032256951089948416
170,7.299897788470844e-06,1.2428818081389181e-05,0.004946902394294739,0.007022768724709749,0.0003788239846471697
171,7.052131422824459e-06,1.211718063132139e-05,0.005864904727786779,0.006290461868047714,0.0003880789445247501
172,5.117507043905789e-06,1.0822492185980082e-05,0.004781940020620823,0.006059498526155949,0.00040293854544870555
173,1.019734645524295e-05,1.7612866940908134e-05,0.008486326783895493,0.006569607648998499,0.0004950122674927115
174,5.37711639481131e-06,1.2120116480218712e-05,0.005859853234142065,0.006049372721463442,0.0004169815219938755
175,5.135817900736583e-06,1.134925514634233e-05,0.005302650388330221,0.006304679438471794,0.0003446329792495817
176,5.716055056836922e-06,1.0011768608819693e-05,0.00423435028642416,0.00591614656150341,0.0003848807536996901
177,7.679906047997065e-06,2.4118666260619648e-05,0.010197866708040237,0.008194324560463428,0.0004404514329507947
178,1.0888906217587646e-05,1.0125673725269735e-05,0.0036861267872154713,0.00582977244630456,0.00046719200327061117
179,6.090102033340372e-06,1.0992062016157433e-05,0.003741322783753276,0.006576381623744965,0.00044542396790347993
180,5.498799964698264e-06,1.090824753191555e-05,0.003709646873176098,0.0063662598840892315,0.00047693969099782407
181,4.8325910029234365e-06,9.814921213546768e-06,0.003607826540246606,0.0060263690538704395,0.00041548931039869785
182,4.570925739244558e-06,1.066743516275892e-05,0.00443197600543499,0.006365127395838499,0.0003498482401482761
183,4.807316145161167e-06,1.1041677680623252e-05,0.004142478108406067,0.006525120697915554,0.00038967025466263294
184,7.375909262918867e-06,1.2998619240534026e-05,0.005205019377171993,0.007271870970726013,0.00036141270538792014
185,8.029919627006166e-06,2.8288588509894907e-05,0.009874315932393074,0.009119680151343346,0.0007447595708072186
186,5.718306510971161e-06,9.586187843524385e-06,0.0036281002685427666,0.005885058548301458,0.0004010027041658759
187,4.7267221816582605e-06,9.552039045956917e-06,0.003741669002920389,0.005932113155722618,0.0003893275570590049
