state,input
"[-9.865,-0.657,53.824,0.101]","[1.197]"
"[-9.867,-1.491,53.824,-0.628]","[1.197]"
"[-9.871,-2.462,53.823,-0.274]","[1.197]"
"[-9.877,-3.055,53.822,-0.988]","[1.197]"
"[-9.884,-3.792,53.820,-0.578]","[1.197]"
"[-9.892,-4.129,53.818,-1.202]","[1.197]"
"[24.706,3.633,46.597,-2.344]","[-4.013]"
"[24.711,1.135,46.594,-0.635]","[-4.013]"
"[24.711,-1.161,46.594,0.915]","[-4.013]"
"[24.706,-3.272,46.597,2.401]","[-4.013]"
"[24.698,-5.156,46.603,3.614]","[-4.013]"
"[24.686,-6.739,46.612,4.771]","[-4.013]"
"[24.671,-8.097,46.622,5.580]","[-4.013]"
"[24.654,-9.083,46.634,6.350]","[-4.013]"
"[24.635,-9.867,46.647,6.735]","[-4.013]"
"[24.615,-10.246,46.661,7.107]","[-4.013]"
"[24.595,-10.468,46.675,7.091]","[-4.013]"
"[24.574,-10.291,46.689,7.093]","[-4.013]"
"[24.553,-10.014,46.703,6.733]","[-4.013]"
"[24.534,-9.374,46.716,6.425]","[-4.013]"
"[24.516,-8.696,46.729,5.803]","[-4.013]"
"[24.500,-7.716,46.740,5.260]","[-4.013]"
"[24.485,-6.762,46.749,4.470]","[-4.013]"
"[24.473,-5.580,46.758,3.780]","[-4.013]"
"[24.463,-4.479,46.764,2.918]","[-4.013]"
"[24.455,-3.232,46.769,2.168]","[-4.013]"
"[24.450,-2.110,46.773,1.322]","[-4.013]"
"[24.447,-0.922,46.775,0.591]","[-4.013]"
"[24.446,0.112,46.775,-0.164]","[-4.013]"
"[24.447,1.139,46.774,-0.812]","[-4.013]"
"[24.450,2.001,46.772,-1.420]","[-4.013]"
"[24.455,2.796,46.769,-1.938]","[-4.013]"
"[24.461,3.429,46.764,-2.363]","[-4.013]"
"[24.469,3.952,46.759,-2.722]","[-4.013]"
"[24.477,4.332,46.754,-2.951]","[-4.013]"
"[24.486,4.572,46.747,-3.141]","[-4.013]"
"[24.495,4.700,46.741,-3.180]","[-4.013]"
"[24.505,4.677,46.735,-3.210]","[-4.013]"
"[24.514,4.579,46.728,-3.081]","[-4.013]"
"[24.523,4.332,46.722,-2.972]","[-4.013]"
"[24.531,4.051,46.717,-2.708]","[-4.013]"
"[24.539,3.634,46.712,-2.492]","[-4.013]"
"[24.546,3.223,46.707,-2.137]","[-4.013]"
"[24.552,2.699,46.703,-1.851]","[-4.013]"
"[24.557,2.217,46.700,-1.448]","[-4.013]"
"[24.560,1.648,46.697,-1.131]","[-4.013]"
"[-16.003,-195.513,51.811,-84.158]","[2.291]"
"[-16.395,-196.041,51.640,-86.725]","[2.371]"
"[-16.789,-197.577,51.464,-89.822]","[2.450]"
"[-17.186,-199.980,51.280,-93.896]","[2.529]"
"[-17.590,-203.472,51.089,-97.512]","[2.608]"
"[-18.000,-207.054,50.888,-102.864]","[2.687]"
"[-18.419,-211.724,50.678,-106.973]","[2.766]"
"[-18.847,-215.772,50.458,-113.259]","[2.846]"
"[-19.283,-220.824,50.227,-117.782]","[2.925]"
"[-19.729,-224.679,49.985,-124.595]","[3.004]"
"[-20.183,-229.378,49.731,-129.398]","[3.083]"
"[-20.645,-232.490,49.465,-136.307]","[3.162]"
"[-21.114,-236.228,49.188,-141.209]","[3.242]"
"[-21.588,-238.196,48.898,-147.810]","[3.321]"
"[-22.067,-240.540,48.598,-152.600]","[3.400]"
"[-22.549,-241.130,48.287,-158.550]","[3.479]"
"[-23.032,-241.841,47.965,-163.008]","[3.558]"
"[-23.515,-240.983,47.634,-168.052]","[3.637]"
"[-23.994,-238.818,47.299,-167.557]","[3.637]"
"[-24.463,-229.960,46.968,-163.230]","[3.637]"
"[-24.909,-216.277,46.650,-154.771]","[3.637]"
"[-25.323,-197.341,46.351,-143.642]","[3.637]"
"[-25.695,-175.531,46.078,-129.103]","[3.637]"
"[-26.021,-150.669,45.837,-112.296]","[3.637]"
"[-26.296,-124.426,45.631,-93.590]","[3.637]"
"[-26.518,-97.142,45.464,-73.378]","[3.637]"
"[-26.685,-69.683,45.338,-52.931]","[3.637]"
"[-26.797,-42.853,45.253,-31.948]","[3.637]"
"[-26.856,-16.784,45.209,-12.264]","[3.637]"
"[-26.866,7.340,45.203,7.027]","[3.637]"
"[-26.829,30.011,45.234,23.820]","[3.637]"
"[-26.749,49.764,45.298,39.524]","[3.637]"
"[-26.631,67.596,45.389,51.970]","[3.637]"
"[-26.482,81.863,45.504,62.962]","[3.637]"
"[-26.306,93.962,45.638,70.397]","[3.637]"
"[-26.110,102.181,45.784,76.340]","[3.637]"
"[-25.899,108.211,45.940,78.832]","[3.637]"
"[-25.681,110.376,46.099,80.050]","[3.637]"
"[-25.460,110.552,46.257,78.228]","[3.637]"
"[-25.242,107.193,46.411,75.496]","[3.637]"
"[-0.028,-30.748,54.988,0.046]","[-0.510]"
"[-0.066,-6.435,54.988,-0.068]","[-0.510]"
"[-0.056,16.318,54.988,0.029]","[-0.510]"
"[-0.003,37.078,54.988,-0.309]","[-0.510]"
"[0.090,55.521,54.987,-0.136]","[-0.510]"
"[0.217,71.362,54.986,-0.839]","[-0.510]"
"[0.372,84.446,54.985,-0.729]","[-0.510]"
"[0.551,94.629,54.982,-1.749]","[-0.510]"
"[0.748,101.925,54.979,-1.708]","[-0.510]"
"[0.956,106.317,54.974,-2.850]","[-0.510]"
"[1.170,107.975,54.969,-2.798]","[-0.510]"
"[1.385,106.980,54.962,-3.807]","[-0.510]"
"[1.596,103.629,54.954,-3.650]","[-0.510]"
"[1.797,98.079,54.947,-4.298]","[-0.510]"
"[1.986,90.706,54.938,-3.987]","[-0.510]"
"[2.158,81.727,54.930,-4.137]","[-0.510]"
"[2.311,71.539,54.922,-3.692]","[-0.510]"
"[2.443,60.406,54.915,-3.328]","[-0.510]"
"[2.552,48.690,54.909,-2.833]","[-0.510]"
"[2.637,36.690,54.904,-2.044]","[-0.510]"
"[2.699,24.690,54.900,-1.614]","[-0.510]"
"[2.736,13.004,54.898,-0.557]","[-0.510]"
"[2.751,1.816,54.897,-0.300]","[-0.510]"
"[2.744,-8.564,54.898,0.846]","[-0.510]"
"[2.718,-18.066,54.900,0.867]","[-0.510]"
"[2.673,-26.405,54.903,1.938]","[-0.510]"
"[2.613,-33.613,54.906,1.723]","[-0.510]"
"[2.540,-39.455,54.910,2.599]","[-0.510]"
"[2.456,-44.045,54.915,2.206]","[-0.510]"
"[2.365,-47.219,54.920,2.814]","[-0.510]"
"[2.268,-49.142,54.925,2.341]","[-0.510]"
"[2.169,-49.734,54.931,2.653]","[-0.510]"
"[2.070,-49.184,54.935,2.212]","[-0.510]"
"[1.974,-47.496,54.940,2.235]","[-0.510]"
"[1.881,-44.860,54.944,1.921]","[-0.510]"
"[1.795,-41.355,54.948,1.682]","[-0.510]"
"[1.716,-37.152,54.951,1.555]","[-0.510]"
"[1.647,-32.390,54.954,1.098]","[-0.510]"
"[1.587,-27.209,54.956,1.174]","[-0.510]"
"[1.538,-21.785,54.957,0.552]","[-0.510]"
"[-17.640,202.765,51.151,96.738]","[1.843]"
"[-17.206,231.249,51.354,105.612]","[1.765]"
"[-16.716,258.489,51.572,113.155]","[1.686]"
"[-16.174,284.052,51.804,118.378]","[1.607]"
"[-15.582,307.252,52.045,122.270]","[1.529]"
"[-14.947,328.073,52.291,123.409]","[1.450]"
"[-14.273,345.730,52.538,123.507]","[1.372]"
"[-13.567,360.585,52.782,120.790]","[1.293]"
"[-12.835,371.839,53.021,117.534]","[1.214]"
"[-12.083,380.156,53.250,111.715]","[1.136]"
"[-11.318,384.819,53.468,105.938]","[1.057]"
"[-10.546,386.692,53.672,98.077]","[0.979]"
"[-9.775,385.213,53.860,90.778]","[0.900]"
